Comment,Compound,Positive,Negative,Neutral
"I'm extremely casual on the K Pop front, like I enjoyed Dynamite by BTS and maybe that Ice Cream song... but usually don't go out of my way to seek it out and I usually have no idea who's playing when I'm in a Korean restaurant. But this was a genuine bop and I'm going to have it on repeat. 

Also Latto is blowing up right now, I never thought I'd see so many women rappers excelling at once and I'm loving it.",0.936,0.197,0.029,0.774
Ok the casket scene is hilarious,0.5994,0.551,0.0,0.449
The explicit version.. I was NOT expecting that,0.0,0.0,0.0,1.0
bring back men who are pathetically in love again,0.34,0.3,0.2,0.5
This is SO raunchy but the song BOPS!,0.0,0.0,0.0,1.0
The explicit version is sickening oh my.,-0.5267,0.0,0.362,0.638
"Latto slid woahhhh hahaha I was worried about that feature but she fit perfectly!

Cool high-budget mv, ok song, i wasn't gagged. Cute 2-step beat, the proliferation of garage/DnB in kpop is gonna get alarming at some point

edit: wait i lied i'm kinda obsessed now ahjhshjsjs",0.8383,0.28,0.175,0.545
"im aging myself here but wayyy back in the day I was obsessed with an album by Craig David. This here has a lot of shades of that.. the percussion, a catchy... airy delight of a melody, a simple love song that captures that youthful feeling of infatuation. I've waited for the JK solo for forever and I'm so glad with every aspect of this, the video, the song, the genre of the song... love love love

&#x200B;

edit - thought I was replying to this in r/kpop eh whatever but now I feel weird bc Im sure more ppl here know about Craig David",0.9935,0.328,0.029,0.644
"This was so good! Very Craig David coded. 
Latto coming for her first win at Inkigayo.",0.8331,0.359,0.0,0.641
"Love the MV, the tone was unexpected.
I dislike pure romantic vids, so this one hit where it had to lol",0.7964,0.331,0.089,0.58
"Ladies and gentleman, THIS is what we call a music video! It's just so good ugh, I'm obsessed. Jungkook sounds incredible, the song bops and Latto did great. Another very strong contender for song of the summer I fear, we're so spoiled",0.7598,0.239,0.141,0.62
music video was funny & enjoyable to watch and the song is going on my playlist too🥳,0.8126,0.344,0.0,0.656
"Love a man who can make fun of himself. That’s our JK. The video is stronger than the song, IMO. He does sounds great, as expected, but I am hoping for more personal music on the album.",0.8957,0.286,0.0,0.714
Oh they ATE this up,0.0,0.0,0.0,1.0
"Seven Days of the Week (Derogatory)

___
Already love it after the first watch.",0.6369,0.244,0.0,0.756
I love it! Its been on repeat!,0.6988,0.444,0.0,0.556
"A modern rendition of Craig David's ""7 Days"".",0.0,0.0,0.0,1.0
How did Jungkook know that annoying men are exactly my type? The song sounded a bit generic but grew on me near the end. Definitely adding it to the playlist.,0.4019,0.106,0.055,0.838
"I did not expect this song to be so horny lol. It’s kinda giving Charlie Puth? The music video is amazing, I love how he dies. I like the mv more than the song so I’ll definitely have to come back and rewatch it",0.9563,0.329,0.0,0.671
This sub is so incapable of just enjoying a good fun pop song. I just really don't get it.,0.7378,0.343,0.12,0.536
"This is just THE perfect debut for him, this is all I’ve wanted. It’s very Jungkook, sexy quirky and pop. Han Sohee is also amazing, they looked very good together. Lowkey wish they kissed but that would never happen 😂

Latto’s verse fit right in and song did not feel like it’s too long or too short, it’s the perfect length. 

JK MAIN POP BOY!",0.9752,0.327,0.054,0.619
Oh he served!,0.0,0.0,0.0,1.0
"I dislike annoying men but I guess I'll have to make an exception this time.

This single has an awful cover (gosh, can't believe that's the official cover) but I love the song a lot.",0.0387,0.13,0.172,0.697
"Pretty generic but cute, definitely see him going the Bieber route. 

The explicit version makes me chuckle. I almost wish he left the f bombs for the last two choruses just because the chorus is quite repetitive, would’ve had the same shock factor.",0.8741,0.278,0.108,0.614
"The song was cute! It's very easy listening pop and I'll bop along to it on my playlist now and then. I was hoping for something a little more...specific I guess? Like something that really says ""this is who I am as a soloist"" but this is giving Shawn, Charlie, Justin, typical out of the box pop boy stuff without anything super unique. His vocals sound really lovely though.",0.89,0.202,0.051,0.747
You're not seriously telling me naming the days of the week is the chorus 💀,0.1326,0.098,0.0,0.902
The explicit is giving the exact same vibes as I Wanna Love You by Akon. I guess bc it's BTS and Latto people will be bias and have soft spots but the explicit of this just completely changed the tone as it does for I Wanna Love You and isn't as fun,0.7466,0.163,0.077,0.76
The song is imo very meh. The chorus just falls flat to me. But the video is absolute slay. Love the concept and execution. The flooded laundromat was gorgeously  composed as well.,0.9274,0.306,0.031,0.664
The song is ok it's catchy mv is cool the best reminded of a song from ed Sheeran equals album collide.,0.8126,0.322,0.048,0.63
This is really random but it sounds a bit dated— like a b-side from MJ’s invincible album. Little generic,0.8201,0.308,0.0,0.692
[deleted],0.0,0.0,0.0,1.0
"Only here for Sohee

*Sohee* is hugging and kissing your oppas.",0.7579,0.419,0.0,0.581
im not listening because of latTOE,0.0,0.0,0.0,1.0
"Very generic and boring
Also it's just a Craig David UK garage parody at this point, will kpop ever get creative for once",0.0865,0.11,0.097,0.794
"I feel like there were so many references. Like the lyrics and the music video are giving Michael Jackson, the Beatles, Taylor Swift.  I wonder if there’s any Korean artist references that I’m just not getting because I just don’t know.

Like Michael Jackson, this is totally the kind of music video he would make  

Then the Beatles literally have a song about eight days a week. Love you every day girl always on my mind. One thing I can say girl I love you all the time. Hold me love me hold me love me eight days a week. 

Then there’s a Afterglow, and the funeral imagery  on Taylor


I don’t love the K-pop industry and I just read a story about a guy that got addicted to pain medication and was forced on diet pills who had to sell his house and his parents house because of his drug addiction. So while this is such a great video and such a cute sassy little song. I wish I could get the negative part out of my head. Life ain’t perfect. Just get over it. but I just can’t. I don’t wanna watch anymore tragedies I feel like I’ve seen enough in the western industry. 

One day I’ll be a positive person !!!  Does anyone else’s mind work like this, where they’re like wow yay I love the music by like dark dark dark thoughts? Like this man is including death imagery but like there’s actually K-pop deaths every few months from idols K—-themselves so it’s just dark humor I guess. It must be so nice to just see a video and just go weeeee pretty colors. 

I guess an interesting thing is like the death metaphor of like all the dangerous things he’s doing like isn’t caused by climate change, except maybe  the storm? The storm is the thing that actually kills him in the end though before he comes back to life, right? 

Cute video, pretty colors!",0.997,0.248,0.075,0.678
"I remember Jungkook debuting at 14/15 and was the cutest little baby brother and to hear him release something so… visceral is mind blowing every new listen. 

Also a catchy bop.",0.5859,0.112,0.0,0.888
tbh all I could think was 'this is how you get yeast infections',0.0,0.0,0.0,1.0
Waiting for Simp summer ‘23,0.0,0.0,0.0,1.0
Oh this explicit is FAR better,0.4404,0.367,0.0,0.633
">  Cute 2-step beat, the proliferation of garage/DnB in kpop is gonna get alarming at some point

Alarming-ly good, I've been praying for it to take over after 4 Walls",0.7845,0.234,0.042,0.724
">the proliferation of garage/DnB in kpop is gonna get alarming at some point

It *is* starting to get a bit oversaturated... Started as a trend in Khh along with drill, got carried over to Kpop by NewJeans' Khh producer, now the Korean market is full of it lol",0.3182,0.056,0.03,0.915
Isn't Latto the racist flying alien from the Phantom Menace?,0.0052,0.223,0.222,0.555
"This! I think the homage is totally intentional and these sounds feel fresh even today. I don’t think the song is perfect and I’m so pissed they didn’t include a bridge to build to the last thumping chorus, but it’s boppy. I do want JK to let go of market shackles though.",0.6134,0.155,0.054,0.792
The MV was so entertaining and he sounded so good. Love the beat of the song,0.9179,0.479,0.0,0.521
